outcome,pred_fog,G1,G2,G3,G4,G5
correct-reject,4.183987e-07,-0.0096756290430926,-0.009679802799397636,-0.009684301378329204,-0.009676343023754672,-0.009677014383564799
correct-reject,1.0816886e-08,-0.00965898578737962,-0.009665162748191465,-0.009738875447326798,-0.009665171339940574,-0.009665302505300453
correct-reject,3.146449e-07,-0.009680895409536264,-0.009681139218191519,-0.009680081193583262,-0.0096761074875788,-0.009674970319249071
correct-reject,6.045419e-07,-0.009624778565023964,-0.009624569714019053,-0.009905032062409691,-0.00962429033103342,-0.009614232955652783
correct-reject,1.1820331e-06,-0.009698546776706004,-0.009697973482493197,-0.009691799728435042,-0.00969891132713889,-0.009605097313365776
correct-reject,7.778122e-08,-0.009678805051730114,-0.00967781968252625,-0.009679432869403813,-0.0096780344513465,-0.009679338773132231
correct-reject,1.1162506e-05,-0.009669170551000724,-0.009674485484583247,-0.009694787725610814,-0.009682660916612058,-0.009661203950332072
correct-reject,2.8662848e-07,-0.009665053722821797,-0.00968002267604869,-0.009681747210434579,-0.009680226754668259,-0.009686171264165587
correct-reject,4.1279477e-06,-0.009447479981755984,-0.009732307673210984,-0.009746433912820332,-0.009731975590303452,-0.009731181470048162
correct-reject,3.3299014e-07,-0.009585041562980767,-0.009703202560189311,-0.009698495223377184,-0.009703243703894771,-0.009703192577696886
correct-reject,1.419824e-05,-0.008117671254933135,-0.010093144666867698,-0.00994596484759658,-0.0101202813231116,-0.010102246535629899
correct-reject,1.2901645e-06,-0.009678743641719272,-0.00967737427351368,-0.009684482306123142,-0.009673539037039856,-0.00967807936974297
correct-reject,8.0813504e-07,-0.009344889996116835,-0.00975692767967559,-0.009761614836373724,-0.009768334897134953,-0.009760933218837807
correct-reject,2.1123232e-07,-0.009675960939601783,-0.00967928121593895,-0.00967950488883576,-0.009679360315100846,-0.00967919026866158
correct-reject,2.7433666e-07,-0.009685279131806716,-0.009686795140086897,-0.009685708432460359,-0.00966802087959931,-0.009667431044185638
correct-reject,3.983291e-06,-0.009663767029748327,-0.009654645562456597,-0.009749713290934188,-0.00966108924951446,-0.009660313495485342
correct-reject,3.7612836e-07,-0.009665018726748735,-0.009681013764284072,-0.009683734073970903,-0.009684097963107196,-0.009679268100028006
correct-reject,3.2457893e-07,-0.009672593078983344,-0.009679575320247692,-0.009678958476379073,-0.009681001803364286,-0.009681054949164523
correct-reject,8.7322105e-06,-0.009669084282508672,-0.00968811118822811,-0.00970253155148561,-0.009756280162290111,-0.009568771443626414
correct-reject,1.5508613e-05,-0.009769528903059871,-0.009729194398778488,-0.009753326274703218,-0.009590175983059649,-0.009535783068537687
correct-reject,4.774956e-07,0.0009726733187878053,-0.012303426220871359,-0.012389102968797389,-0.01237003675320767,-0.012303139004050303
correct-reject,1.8151131e-05,-0.009679506488767734,-0.009666954165932015,-0.009684942513127008,-0.009666140766467969,-0.00967776469384419
correct-reject,0.0008620477,-0.009189367630670651,-0.009600848816188758,-0.009607429158792672,-0.009538309011199089,-0.009595506011287738
correct-reject,1.3226507e-05,-0.009672089242632161,-0.009696023407956493,-0.009704091934533421,-0.009653950591069254,-0.009654153451947584
correct-reject,3.267861e-05,-0.00709588621453517,-0.010583172588550908,-0.010186042748280824,-0.01010937448878551,-0.0103863325879865
correct-reject,4.898392e-07,-0.009675610722141756,-0.009679341798486993,-0.009678340189834654,-0.009675081019839289,-0.009684644897836225
correct-reject,2.9472372e-05,-0.009661081321701988,-0.00969556666243603,-0.009673039794890408,-0.009663729327285289,-0.009670591521825209
correct-reject,7.070471e-05,-0.009561029547991606,-0.00973817004774693,-0.009598543660635844,-0.009685844396210933,-0.0097392209755536
correct-reject,3.5489105e-05,-0.009619895341156221,-0.009709014087167893,-0.009711163461582876,-0.009650334064083256,-0.009667601674148667
correct-reject,4.5046095e-06,-0.009391311738688691,-0.010186355854017101,-0.009397123366163988,-0.009657178986250561,-0.009757038683018571
correct-reject,0.003974788,-0.008644164531693026,-0.008934499516537502,-0.008953737730610757,-0.008926323702949199,-0.008959995146348435
correct-reject,9.243576e-05,-0.009593273574140054,-0.009657288932914058,-0.009752021378482214,-0.009640846159477044,-0.009657678583125549
correct-reject,3.8928256e-06,-0.009674400615245807,-0.00967695021451305,-0.009682875604506293,-0.009678468480371509,-0.00967692371350226
correct-reject,9.258632e-06,-0.00966729233369864,-0.009685378897217227,-0.009676165773112788,-0.00967813308166346,-0.009677278542446802
correct-reject,2.8181297e-05,-0.009668868267085027,-0.00970568964141595,-0.00968631049135046,-0.009652272279642875,-0.0096521679486446
correct-reject,2.7719116e-05,-0.0071238052825316625,-0.010328407523802133,-0.010327222702462068,-0.010260001745086133,-0.010326371374256925
correct-reject,8.119241e-06,-0.009679622409277971,-0.009675741417003388,-0.00968000688232239,-0.009673860069138002,-0.009676157850397167
correct-reject,1.7578222e-07,-0.009666564299922678,-0.009682548088040263,-0.009682033364259565,-0.009681102822361384,-0.00968108405355502
correct-reject,3.6208963e-05,-0.009657517272679692,-0.009742385420164952,-0.009662340181116188,-0.009636665037346153,-0.00965840071683193
correct-reject,6.1959436e-05,-0.009662101090404846,-0.00967924252227443,-0.009633591862044412,-0.009670019363441227,-0.009686553789973996
correct-reject,1.3587217e-05,-0.00967872780139565,-0.009672176967048807,-0.009672782423253853,-0.009678727990988654,-0.009677493445451964
correct-reject,2.2688877e-05,-0.009673576183033316,-0.009676692953580533,-0.009683323258483326,-0.009668975268670122,-0.009668240964371617
correct-reject,0.0011480455,-0.00944057217136862,-0.009451906942833132,-0.009459924359383176,-0.009443337592155371,-0.009449721562398622
