,Feature,POD_mean,F_mean,FAR_mean,CSI_mean,PSS_mean,HSS_mean,ORSS_mean,CSS_mean
170,Q_900mb,0.343283582,0.010180472,0.488888889,0.258426966,0.33310311,0.396121656,0.961407356,0.490955362
171,Q_900mb,0.343283582,0.010180472,0.488888889,0.258426966,0.33310311,0.396121656,0.961407356,0.490955362
172,Q_875mb,0.358208955,0.010180472,0.47826087,0.269662921,0.348028483,0.41034202,0.963811637,0.502032439
173,Q_875mb,0.358208955,0.010180472,0.47826087,0.269662921,0.348028483,0.41034202,0.963811637,0.502032439
174,Q_875mb,0.358208955,0.010180472,0.47826087,0.269662921,0.348028483,0.41034202,0.963811637,0.502032439
175,Q_875mb,0.358208955,0.010643221,0.489361702,0.266666667,0.347565734,0.406332006,0.962180455,0.490922571
176,Q_850mb,0.358208955,0.010643221,0.489361702,0.266666667,0.347565734,0.406332006,0.962180455,0.490922571
177,Q_850mb,0.358208955,0.010643221,0.489361702,0.266666667,0.347565734,0.406332006,0.962180455,0.490922571
178,Q_850mb,0.358208955,0.011105969,0.5,0.263736264,0.347102986,0.402389226,0.960550459,0.480275229
179,Q_850mb,0.358208955,0.011568718,0.510204082,0.260869565,0.346640237,0.398512002,0.958921645,0.470062096
180,Q_825mb,0.358208955,0.012031467,0.52,0.258064516,0.346177488,0.394698712,0.957294014,0.460257117
181,Q_825mb,0.358208955,0.012494216,0.529411765,0.255319149,0.34571474,0.390947788,0.955667564,0.450836283
182,Q_825mb,0.358208955,0.012494216,0.529411765,0.255319149,0.34571474,0.390947788,0.955667564,0.450836283
183,Q_825mb,0.358208955,0.012494216,0.529411765,0.255319149,0.34571474,0.390947788,0.955667564,0.450836283
184,Q_800mb,0.358208955,0.012031467,0.52,0.258064516,0.346177488,0.394698712,0.957294014,0.460257117
185,Q_800mb,0.358208955,0.012031467,0.52,0.258064516,0.346177488,0.394698712,0.957294014,0.460257117
186,Q_800mb,0.358208955,0.012031467,0.52,0.258064516,0.346177488,0.394698712,0.957294014,0.460257117
187,Q_800mb,0.358208955,0.012494216,0.529411765,0.255319149,0.34571474,0.390947788,0.955667564,0.450836283
188,Q_775mb,0.358208955,0.012031467,0.52,0.258064516,0.346177488,0.394698712,0.957294014,0.460257117
189,Q_775mb,0.358208955,0.011568718,0.510204082,0.260869565,0.346640237,0.398512002,0.958921645,0.470062096
190,Q_775mb,0.373134328,0.012031467,0.509803922,0.268817204,0.361102861,0.408349279,0.959902326,0.470903474
191,Q_775mb,0.373134328,0.012031467,0.509803922,0.268817204,0.361102861,0.408349279,0.959902326,0.470903474
192,Q_750mb,0.373134328,0.012031467,0.509803922,0.268817204,0.361102861,0.408349279,0.959902326,0.470903474
193,Q_750mb,0.373134328,0.011568718,0.5,0.27173913,0.36156561,0.412243677,0.961432507,0.480716253
194,Q_750mb,0.373134328,0.011568718,0.5,0.27173913,0.36156561,0.412243677,0.961432507,0.480716253
195,Q_750mb,0.388059701,0.012031467,0.5,0.279569892,0.376028235,0.421778404,0.962316176,0.481158088
196,Q_725mb,0.373134328,0.011568718,0.5,0.27173913,0.36156561,0.412243677,0.961432507,0.480716253
197,Q_725mb,0.388059701,0.011568718,0.490196078,0.282608696,0.376490983,0.425750771,0.963755945,0.490970665
198,Q_725mb,0.373134328,0.011105969,0.489795918,0.274725275,0.362028359,0.416202825,0.962963643,0.490929185
199,Q_725mb,0.373134328,0.011568718,0.5,0.27173913,0.36156561,0.412243677,0.961432507,0.480716253
200,Q_700mb,0.373134328,0.011568718,0.5,0.27173913,0.36156561,0.412243677,0.961432507,0.480716253
