feature,group,PSS_Mean,PSS_STD,HSS_Mean,HSS_STD,CSS_Mean,CSS_STD
RH_850mb_T3,G3,0.52,0.01,0.51,0,0.49,0.02
RH_850mb_T4,G3,0.54,0.01,0.51,0,0.49,0.08
RH_825mb_T1,G3,0.54,0,0.52,0,0.5,0.01
RH_825mb_T2,G3,0.54,0,0.52,0,0.5,0.01
RH_825mb_T3,G3,0.54,0.01,0.52,0,0.5,0.04
RH_825mb_T4,G3,0.52,0,0.51,0,0.49,0.07
RH_800mb_T1,G3,0.52,0,0.51,0,0.5,0.04
RH_800mb_T2,G3,0.52,0.01,0.51,0,0.5,0.06
RH_800mb_T3,G3,0.52,0,0.51,0,0.49,0.06
RH_800mb_T4,G3,0.54,0,0.52,0,0.51,0.04
RH_775mb_T1,G3,0.54,0,0.52,0,0.51,0.04
RH_775mb_T2,G3,0.52,0,0.51,0,0.5,0.06
RH_775mb_T3,G3,0.54,0.01,0.53,0,0.51,0.08
RH_775mb_T4,G3,0.55,0.01,0.52,0,0.5,0.05
RH_750mb_T1,G3,0.54,0,0.51,0,0.49,0.1
RH_750mb_T2,G3,0.54,0,0.52,0,0.5,0.1
RH_750mb_T3,G3,0.52,0.01,0.5,0,0.49,0.09
RH_750mb_T4,G3,0.52,0,0.51,0,0.49,0.09
RH_725mb_T1,G3,0.54,0.01,0.52,0,0.5,0.08
RH_725mb_T2,G3,0.52,0,0.51,0,0.49,0.08
RH_725mb_T3,G3,0.54,0,0.53,0,0.51,0.03
RH_725mb_T4,G3,0.52,0,0.51,0,0.49,0.04
RH_700mb_T1,G3,0.52,0,0.51,0,0.49,0.04
RH_700mb_T2,G3,0.54,0,0.52,0,0.5,0.03
RH_700mb_T3,G3,0.52,0,0.51,0,0.49,0.04
RH_700mb_T4,G3,0.54,0.01,0.52,0,0.51,0.08
Q_surface_T1,G4,0.54,0.01,0.52,0,0.51,0.01
Q_surface_T2,G4,0.54,0.01,0.52,0,0.51,0.05
Q_surface_T3,G4,0.51,0.01,0.52,0,0.54,0.07
Q_surface_T4,G4,0.52,0,0.51,0,0.51,0.06
LCLT_T1,G4,0.52,0,0.51,0,0.51,0.03
LCLT_T2,G4,0.52,0.01,0.51,0,0.49,0.01
LCLT_T3,G4,0.54,0,0.52,0,0.51,0.01
LCLT_T4,G4,0.52,0.01,0.51,0,0.49,0.02
VIS_surface_T1,G4,0.52,0,0.51,0,0.49,0.04
VIS_surface_T2,G4,0.52,0,0.51,0,0.5,0.09
VIS_surface_T3,G4,0.51,0,0.5,0,0.49,0.05
VIS_surface_T3,G4,0.51,0,0.5,0,0.49,0.08
VIS_surface_T4,G4,0.52,0.01,0.51,0,0.51,0.09
VVEL_975mb_T1,G4,0.49,0.01,0.49,0,0.49,0.07
VVEL_975mb_T2,G4,0.52,0.01,0.52,0,0.52,0.09
VVEL_975mb_T3,G4,0.52,0,0.52,0,0.52,0.03
VVEL_975mb_T4,G4,0.51,0.01,0.51,0,0.51,0.07
VVEL_950mb_T1,G4,0.51,0,0.5,0,0.49,0.07
VVEL_950mb_T2,G4,0.2,0.01,0.27,0,0.4,0.07
VVEL_950mb_T3,G4,0.49,0.01,0.5,0,0.52,0.03
VVEL_950mb_T4,G4,0.52,0,0.52,0,0.52,0.01
VVEL_925mb_T1,G4,0.49,0.01,0.5,0,0.52,0.01
VVEL_925mb_T2,G4,0.49,0.01,0.51,0,0.52,0.02
VVEL_925mb_T3,G4,0.49,0,0.5,0,0.51,0.04
VVEL_925mb_T4,G4,0.45,0.01,0.48,0,0.51,0.06
VVEL_900mb_T1,G4,0.49,0,0.51,0,0.52,0.08
VVEL_900mb_T2,G4,0.48,0.01,0.5,0,0.52,0.04
VVEL_900mb_T3,G4,0.49,0.01,0.51,0,0.53,0.08
VVEL_900mb_T4,G4,0.49,0.01,0.5,0,0.5,0.1
VVEL_875mb_T1,G4,0.46,0,0.47,0,0.48,0.01
VVEL_875mb_T2,G4,0.49,0,0.49,0,0.48,0.01
VVEL_875mb_T3,G4,0.52,0,0.51,0,0.49,0
VVEL_875mb_T4,G4,0.51,0.01,0.5,0,0.5,0.08
VVEL_850mb_T1,G4,0.5,0,0.48,0,0.46,0.02
VVEL_850mb_T2,G4,0.51,0,0.5,0,0.49,0.08
VVEL_850mb_T3,G4,0.51,0,0.5,0,0.5,0.03
VVEL_850mb_T4,G4,0.51,0.01,0.51,0,0.52,0.08
VVEL_825mb_T1,G4,0.51,0,0.53,0,0.55,0.03
VVEL_825mb_T2,G4,0.49,0.01,0.51,0,0.53,0.05
VVEL_825mb_T3,G4,0.5,0.01,0.52,0,0.55,0.08
VVEL_825mb_T4,G4,0.52,0,0.53,0,0.54,0.05
VVEL_800mb_T1,G4,0.51,0,0.51,0,0.51,0.02
VVEL_800mb_T2,G4,0.51,0,0.5,0,0.49,0
VVEL_800mb_T3,G4,0.51,0,0.5,0,0.5,0.06
VVEL_800mb_T4,G4,0.51,0,0.5,0,0.49,0.04
VVEL_775mb_T1,G4,0.51,0,0.5,0,0.49,0.01
VVEL_775mb_T2,G4,0.54,0.01,0.52,0,0.51,0.02
VVEL_775mb_T3,G4,0.54,0,0.52,0,0.5,0.04
VVEL_775mb_T4,G4,0.49,0.01,0.5,0,0.52,0.02
VVEL_750mb_T1,G4,0.54,0,0.52,0,0.5,0
VVEL_750mb_T2,G4,0.54,0.01,0.51,0,0.49,0.1
VVEL_750mb_T3,G4,0.54,0.01,0.51,0,0.49,0.04
VVEL_750mb_T4,G4,0.52,0,0.51,0,0.5,0.03
VVEL_725mb_T1,G4,0.51,0,0.5,0,0.49,0.09
VVEL_725mb_T2,G4,0.51,0.01,0.5,0,0.49,0.06
VVEL_725mb_T3,G4,0.51,0.01,0.5,0,0.49,0.04
VVEL_725mb_T4,G4,0.51,0,0.5,0,0.49,0.03
VVEL_700mb_T1,G4,0.51,0,0.5,0,0.49,0.02
VVEL_700mb_T2,G4,0.51,0.01,0.5,0,0.49,0.01
VVEL_700mb_T3,G4,0.51,0,0.5,0,0.49,0.05
VVEL_700mb_T4,G4,0.51,0,0.5,0,0.49,0.01
analysed_sst_T1,G5,0.55,0.01,0.52,0,0.5,0.07
analysed_sst_T2,G5,0.51,0.01,0.49,0,0.48,0.05
analysed_sst_T3,G5,0.51,0.01,0.5,0,0.49,0.08
analysed_sst_T4,G5,0.54,0.01,0.48,0,0.42,0.05
TMP-DPT_T1,G5,0.52,0.01,0.49,0,0.47,0.01
TMP-DPT_T2,G5,0.45,0.01,0.52,0,0.6,0.05
TMP-DPT_T3,G5,0.54,0,0.51,0,0.49,0.08
TMP-DPT_T4,G5,0.42,0.01,0.46,0,0.52,0.08
TMP-SST_T1,G5,0.52,0,0.52,0,0.52,0
TMP-SST_T2,G5,0.56,0.01,0.53,0,0.5,0.01
