Date,VIS,CAT
20130911,10,1
20130911,10,1
20130911,10,1
20130911,10,1
20130912,10,1
20130912,10,1
20130912,10,1
20130912,10,1
20130915,10,1
20130915,10,1
20130915,10,1
20130915,7,1
20130916,10,1
20130916,7,1
20130916,7,1
20130916,10,1
20130917,10,1
20130917,10,1
20130917,10,1
20130917,10,1
20130918,10,1
20130918,10,1
20130918,10,1
20130918,10,1
20130919,10,1
20130919,10,1
20130919,10,1
20130919,10,1
20130920,10,1
20130920,7,1
20130920,10,1
20130920,7,1
20130922,10,1
20130922,10,1
20130922,10,1
20130922,10,1
20130924,10,1
20130924,10,1
20130924,10,1
20130924,10,1
20130926,10,1
20130926,10,1
20130926,10,1
20130926,10,1
20130927,10,1
20130927,10,1
20130927,10,1
20130927,10,1
20130928,10,1
20130928,10,1
20130928,10,1
20130928,10,1
20130929,10,1
20130929,10,1
20130929,10,1
20130929,10,1
20130930,10,1
20130930,10,1
20130930,10,1
20130930,10,1
20131001,10,1
20131001,10,1
20131001,10,1
20131001,10,1
20131003,10,1
20131003,10,1
20131003,10,1
20131003,10,1
20131004,10,1
20131004,10,1
20131004,10,1
20131004,10,1
20131007,10,1
20131007,10,1
20131007,10,1
20131007,10,1
20131008,10,1
20131008,10,1
20131008,10,1
20131008,10,1
20131009,10,1
20131009,10,1
20131009,10,1
20131009,10,1
20131011,10,1
20131011,10,1
20131011,10,1
20131011,10,1
20131012,10,1
20131012,10,1
20131012,10,1
20131012,10,1
20131013,10,1
20131013,10,1
20131013,10,1
20131013,10,1
20131014,10,1
20131014,10,1
20131014,10,1
20131014,10,1
20131015,10,1
20131015,10,1
20131015,10,1
20131015,10,1
20131016,10,1
20131016,10,1
20131016,10,1
20131016,10,1
20131017,10,1
20131017,10,1
20131017,10,1
20131017,10,1
20131018,10,1
20131018,10,1
20131018,10,1
20131018,10,1
20131020,10,1
20131020,10,1
20131020,10,1
20131020,10,1
20131022,10,1
20131022,10,1
20131022,10,1
20131022,10,1
20131023,10,1
20131023,10,1
20131023,10,1
20131023,10,1
20131024,10,1
20131024,10,1
20131024,10,1
20131024,10,1
20131025,10,1
20131025,10,1
20131025,10,1
20131025,10,1
20131026,10,1
20131026,10,1
20131026,10,1
20131026,10,1
20131027,10,1
20131027,7,1
20131027,10,1
