,Unnamed: 0,Date,VIS,CAT,CAT1600,CAT3200,CAT6400
466,466,20130601,10.0,1,1,1,1
467,467,20130601,10.0,1,1,1,1
468,468,20130603,10.0,1,1,1,1
469,469,20130603,10.0,1,1,1,1
470,470,20130603,10.0,1,1,1,1
471,471,20130603,10.0,1,1,1,1
472,472,20130604,10.0,1,1,1,1
473,473,20130604,10.0,1,1,1,1
474,474,20130604,10.0,1,1,1,1
475,475,20130604,10.0,1,1,1,1
476,476,20130605,10.0,1,1,1,1
477,477,20130605,10.0,1,1,1,1
478,478,20130605,10.0,1,1,1,1
479,479,20130605,10.0,1,1,1,1
480,480,20130606,10.0,1,1,1,1
481,481,20130606,10.0,1,1,1,1
482,482,20130606,10.0,1,1,1,1
483,483,20130606,10.0,1,1,1,1
484,484,20130608,10.0,1,1,1,1
485,485,20130608,10.0,1,1,1,1
486,486,20130608,10.0,1,1,1,1
487,487,20130608,10.0,1,1,1,1
488,488,20130609,10.0,1,1,1,1
489,489,20130609,10.0,1,1,1,1
490,490,20130609,10.0,1,1,1,1
491,491,20130609,10.0,1,1,1,1
492,492,20130610,10.0,1,1,1,1
493,493,20130610,10.0,1,1,1,1
494,494,20130610,10.0,1,1,1,1
495,495,20130610,10.0,1,1,1,1
496,496,20130611,10.0,1,1,1,1
497,497,20130611,10.0,1,1,1,1
498,498,20130611,10.0,1,1,1,1
499,499,20130611,7.0,1,1,1,1
500,500,20130613,10.0,1,1,1,1
501,501,20130613,10.0,1,1,1,1
502,502,20130613,10.0,1,1,1,1
503,503,20130613,10.0,1,1,1,1
504,504,20130614,10.0,1,1,1,1
505,505,20130614,10.0,1,1,1,1
506,506,20130614,10.0,1,1,1,1
507,507,20130614,10.0,1,1,1,1
508,508,20130615,10.0,1,1,1,1
509,509,20130615,10.0,1,1,1,1
510,510,20130615,10.0,1,1,1,1
511,511,20130615,10.0,1,1,1,1
512,512,20130616,10.0,1,1,1,1
513,513,20130616,10.0,1,1,1,1
514,514,20130616,7.0,1,1,1,1
515,515,20130616,10.0,1,1,1,1
516,516,20130617,10.0,1,1,1,1
517,517,20130617,7.0,1,1,1,1
518,518,20130617,7.0,1,1,1,1
519,519,20130617,10.0,1,1,1,1
520,520,20130618,10.0,1,1,1,1
521,521,20130618,10.0,1,1,1,1
522,522,20130618,10.0,1,1,1,1
523,523,20130618,10.0,1,1,1,1
524,524,20130619,10.0,1,1,1,1
525,525,20130619,7.0,1,1,1,1
526,526,20130619,10.0,1,1,1,1
527,527,20130619,10.0,1,1,1,1
528,528,20130620,10.0,1,1,1,1
529,529,20130620,7.0,1,1,1,1
530,530,20130620,7.0,1,1,1,1
531,531,20130620,7.0,1,1,1,1
532,532,20130621,7.0,1,1,1,1
533,533,20130621,5.0,1,1,1,0
534,534,20130621,10.0,1,1,1,1
535,535,20130621,10.0,1,1,1,1
536,536,20130623,10.0,1,1,1,1
537,537,20130623,5.0,1,1,1,0
538,538,20130623,7.0,1,1,1,1
539,539,20130623,7.0,1,1,1,1
540,540,20130624,7.0,1,1,1,1
541,541,20130624,7.0,1,1,1,1
542,542,20130624,10.0,1,1,1,1
543,543,20130624,7.0,1,1,1,1
544,544,20130625,7.0,1,1,1,1
545,545,20130625,5.0,1,1,1,0
546,546,20130625,7.0,1,1,1,1
547,547,20130625,7.0,1,1,1,1
548,548,20130626,7.0,1,1,1,1
549,549,20130626,5.0,1,1,1,0
550,550,20130626,7.0,1,1,1,1
551,551,20130626,7.0,1,1,1,1
552,552,20130629,10.0,1,1,1,1
553,553,20130629,7.0,1,1,1,1
554,554,20130629,10.0,1,1,1,1
555,555,20130629,10.0,1,1,1,1
556,556,20130701,10.0,1,1,1,1
557,557,20130701,10.0,1,1,1,1
558,558,20130701,10.0,1,1,1,1
559,559,20130701,10.0,1,1,1,1
560,560,20130703,10.0,1,1,1,1
561,561,20130703,10.0,1,1,1,1
562,562,20130703,10.0,1,1,1,1
563,563,20130703,10.0,1,1,1,1
564,564,20130705,10.0,1,1,1,1
565,565,20130705,10.0,1,1,1,1
566,566,20130705,10.0,1,1,1,1
567,567,20130705,10.0,1,1,1,1
568,568,20130706,10.0,1,1,1,1
569,569,20130706,10.0,1,1,1,1
570,570,20130706,10.0,1,1,1,1
571,571,20130706,10.0,1,1,1,1
572,572,20130707,10.0,1,1,1,1
573,573,20130707,10.0,1,1,1,1
574,574,20130707,10.0,1,1,1,1
575,575,20130707,10.0,1,1,1,1
576,576,20130709,10.0,1,1,1,1
577,577,20130709,10.0,1,1,1,1
578,578,20130709,10.0,1,1,1,1
579,579,20130709,7.0,1,1,1,1
580,580,20130710,10.0,1,1,1,1
581,581,20130710,10.0,1,1,1,1
582,582,20130710,10.0,1,1,1,1
583,583,20130710,10.0,1,1,1,1
584,584,20130711,10.0,1,1,1,1
585,585,20130711,10.0,1,1,1,1
586,586,20130711,10.0,1,1,1,1
587,587,20130711,10.0,1,1,1,1
588,588,20130712,10.0,1,1,1,1
589,589,20130712,10.0,1,1,1,1
590,590,20130712,10.0,1,1,1,1
591,591,20130712,10.0,1,1,1,1
592,592,20130713,10.0,1,1,1,1
593,593,20130713,10.0,1,1,1,1
594,594,20130713,10.0,1,1,1,1
595,595,20130713,10.0,1,1,1,1
596,596,20130714,10.0,1,1,1,1
597,597,20130714,10.0,1,1,1,1
598,598,20130714,10.0,1,1,1,1
599,599,20130714,10.0,1,1,1,1
600,600,20130715,10.0,1,1,1,1
601,601,20130715,10.0,1,1,1,1
602,602,20130715,10.0,1,1,1,1
603,603,20130715,10.0,1,1,1,1
604,604,20130719,10.0,1,1,1,1
605,605,20130719,10.0,1,1,1,1
606,606,20130719,10.0,1,1,1,1
607,607,20130719,10.0,1,1,1,1
608,608,20130720,10.0,1,1,1,1
609,609,20130720,10.0,1,1,1,1
610,610,20130720,10.0,1,1,1,1
611,611,20130720,10.0,1,1,1,1
612,612,20130722,10.0,1,1,1,1
613,613,20130722,7.0,1,1,1,1
614,614,20130722,7.0,1,1,1,1
615,615,20130722,7.0,1,1,1,1
616,616,20130723,7.0,1,1,1,1
617,617,20130723,7.0,1,1,1,1
618,618,20130723,10.0,1,1,1,1
619,619,20130723,7.0,1,1,1,1
620,620,20130724,10.0,1,1,1,1
621,621,20130724,7.0,1,1,1,1
622,622,20130724,7.0,1,1,1,1
623,623,20130724,10.0,1,1,1,1
624,624,20130725,10.0,1,1,1,1
625,625,20130725,10.0,1,1,1,1
626,626,20130725,10.0,1,1,1,1
627,627,20130725,10.0,1,1,1,1
628,628,20130726,10.0,1,1,1,1
629,629,20130726,10.0,1,1,1,1
630,630,20130726,10.0,1,1,1,1
631,631,20130726,10.0,1,1,1,1
632,632,20130727,10.0,1,1,1,1
633,633,20130727,10.0,1,1,1,1
634,634,20130727,10.0,1,1,1,1
635,635,20130727,7.0,1,1,1,1
636,636,20130728,10.0,1,1,1,1
637,637,20130728,7.0,1,1,1,1
638,638,20130728,10.0,1,1,1,1
639,639,20130728,7.0,1,1,1,1
640,640,20130729,7.0,1,1,1,1
641,641,20130729,7.0,1,1,1,1
642,642,20130729,10.0,1,1,1,1
643,643,20130729,10.0,1,1,1,1
644,644,20130731,10.0,1,1,1,1
645,645,20130731,10.0,1,1,1,1
646,646,20130731,10.0,1,1,1,1
647,647,20130731,10.0,1,1,1,1
648,648,20130801,10.0,1,1,1,1
649,649,20130801,10.0,1,1,1,1
650,650,20130801,10.0,1,1,1,1
651,651,20130801,10.0,1,1,1,1
652,652,20130802,10.0,1,1,1,1
653,653,20130802,10.0,1,1,1,1
654,654,20130802,10.0,1,1,1,1
655,655,20130802,10.0,1,1,1,1
656,656,20130803,10.0,1,1,1,1
657,657,20130803,10.0,1,1,1,1
658,658,20130803,10.0,1,1,1,1
659,659,20130803,10.0,1,1,1,1
660,660,20130804,10.0,1,1,1,1
661,661,20130804,10.0,1,1,1,1
662,662,20130804,10.0,1,1,1,1
663,663,20130804,10.0,1,1,1,1
664,664,20130805,10.0,1,1,1,1
665,665,20130805,10.0,1,1,1,1
666,666,20130805,10.0,1,1,1,1
667,667,20130805,10.0,1,1,1,1
668,668,20130806,10.0,1,1,1,1
669,669,20130806,7.0,1,1,1,1
670,670,20130806,10.0,1,1,1,1
671,671,20130806,7.0,1,1,1,1
672,672,20130807,7.0,1,1,1,1
673,673,20130807,7.0,1,1,1,1
674,674,20130807,7.0,1,1,1,1
